Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Result,Total Score
0,3,0,1,3,2,0,3,0,3,2,0,0,2,1,3,2,1,3,2,2.0,31
0,0,0,3,1,0,2,0,1,3,3,1,1,1,2,3,0,0,0,2,1.0,23
1,3,0,0,3,3,1,3,2,0,0,1,1,0,2,3,1,1,3,0,1.0,28
3,2,3,1,3,2,0,0,0,2,1,1,2,2,0,3,2,1,1,2,2.0,31
1,0,0,0,3,2,3,3,2,1,3,3,0,0,0,3,3,0,2,2,2.0,31
2,3,0,1,3,3,0,0,1,2,0,1,1,1,0,0,3,0,0,0,1.0,21
1,3,1,0,1,2,2,0,2,0,0,3,3,0,1,3,1,1,1,3,1.0,28
1,0,2,0,0,0,1,0,2,1,1,1,3,3,2,3,3,3,3,3,2.0,32
1,1,3,1,3,3,2,0,0,0,1,0,2,1,2,1,3,3,1,2,1.0,30
0,1,3,0,2,3,2,3,2,0,3,0,1,0,0,3,3,0,0,0,1.0,26
3,1,1,3,3,1,3,0,0,0,1,1,2,0,0,2,2,2,0,2,1.0,27
1,3,1,1,2,1,3,0,2,3,2,1,0,3,2,3,1,1,1,1,2.0,32
3,3,3,0,1,2,2,3,2,0,2,3,2,0,3,2,0,2,1,1,2.0,35
2,0,2,3,1,2,0,2,3,3,0,3,0,3,3,2,0,0,1,3,2.0,33
1,1,2,1,3,2,2,3,2,0,0,3,1,1,3,2,3,3,3,1,2.0,37
0,0,2,3,3,1,1,2,3,2,0,0,1,0,1,2,1,3,3,3,2.0,31
1,0,1,1,3,1,2,1,1,3,1,0,2,2,1,0,0,1,0,0,1.0,21
0,0,0,0,1,2,0,0,0,1,2,1,1,0,2,2,3,3,0,3,1.0,21
1,2,0,0,3,1,3,3,3,3,0,2,0,3,3,0,1,3,3,2,2.0,36
1,1,3,0,3,3,0,0,2,1,0,3,3,1,1,0,3,2,0,2,1.0,29
0,0,3,2,3,3,2,2,1,2,0,3,1,3,3,3,0,0,0,2,2.0,33
3,1,1,1,2,0,1,0,2,2,1,0,3,3,0,3,1,2,0,2,1.0,28
2,3,3,0,1,1,1,3,3,0,0,3,1,3,3,3,1,2,2,0,2.0,35
1,1,0,3,2,2,0,2,3,0,1,3,3,2,0,3,3,2,3,2,2.0,36
0,3,0,3,1,3,2,1,0,1,3,1,3,3,0,2,3,2,3,3,2.0,37
1,2,0,0,2,0,2,3,1,1,1,0,2,3,0,1,0,3,1,0,1.0,23
